order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ord_0001,1,prod_0001,sell_0001,2017-01-09 10:15:23,89.90,15.10
ord_0001,2,prod_0001,sell_0001,2017-01-09 10:15:23,89.90,15.10
ord_0002,1,prod_0002,sell_0002,2017-01-16 09:02:11,129.90,22.40
ord_0003,1,prod_0003,sell_0001,2017-02-07 18:45:02,59.90,12.00
ord_0003,2,prod_0004,sell_0003,2017-02-07 18:45:02,199.00,18.50
ord_0004,1,prod_0005,sell_0002,2017-02-24 12:33:45,45.00,9.90
ord_0005,1,prod_0001,sell_0001,2017-03-05 08:12:09,89.90,14.00
ord_0006,1,prod_0006,sell_0004,2017-03-14 21:05:33,75.00,10.00
ord_0007,1,prod_0002,sell_0002,2017-03-26 15:40:00,129.90,7.50
ord_0007,2,prod_0002,sell_0002,2017-03-26 15:40:00,129.90,7.50
ord_0007,3,prod_0002,sell_0002,2017-03-26 15:40:00,129.90,7.50
ord_0008,1,prod_0007,sell_0005,2017-04-06 07:55:19,249.90,25.00
ord_0009,1,prod_0008,sell_0003,2017-04-19 11:23:47,19.90,8.00
ord_0010,1,prod_0009,sell_0004,2017-05-05 19:10:02,349.00,30.00
ord_0010,2,prod_0010,sell_0005,2017-05-05 19:10:02,15.50,6.00
ord_0011,1,prod_0003,sell_0001,2017-05-22 13:02:55,59.90,11.00
ord_0012,1,prod_0004,sell_0003,2017-06-06 10:45:00,199.00,20.00
ord_0013,1,prod_0005,sell_0002,2017-06-23 16:20:31,45.00,9.00
ord_0013,2,prod_0005,sell_0002,2017-06-23 16:20:31,45.00,9.00
ord_0014,1,prod_0006,sell_0004,2017-07-08 09:55:12,75.00,12.00
ord_0015,1,prod_0007,sell_0005,2017-07-25 14:08:44,249.90,22.00
